Product_Display_Name,String_Id,GUID,Service_Plan_Name,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Microsoft Entra ID P1 for Faculty,AAD_PREMIUM_FACULTY,30fc3c36-5a95-4956-ba57-c09c2a600bb9,AAD_PREMIUM,41781fb2-bc02-4b7c-bd55-b576c07bb09d,Microsoft Entra ID P1
Microsoft Entra ID P1 for Faculty,AAD_PREMIUM_FACULTY,30fc3c36-5a95-4956-ba57-c09c2a600bb9,MFA_PREMIUM,8a256a2b-b617-496d-b51b-e76466e88db0,Microsoft Azure Multi-Factor Authentication
Microsoft Entra ID P1 for Faculty,AAD_PREMIUM_FACULTY,30fc3c36-5a95-4956-ba57-c09c2a600bb9,ADALLOM_S_DISCOVERY,932ad362-64a8-4783-9106-97849a1a30b9,Microsoft Defender for Cloud Apps Discovery
Microsoft Entra ID P1_USGOV_GCCHIGH,AAD_PREMIUM_USGOV_GCCHIGH ,de597797-22fb-4d65-a9fe-b7dbe8893914,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Microsoft Entra ID P1_USGOV_GCCHIGH,AAD_PREMIUM_USGOV_GCCHIGH ,de597797-22fb-4d65-a9fe-b7dbe8893914,MFA_PREMIUM,8a256a2b-b617-496d-b51b-e76466e88db0,Microsoft Azure Multi-Factor Authentication
Microsoft Entra ID P1_USGOV_GCCHIGH,AAD_PREMIUM_USGOV_GCCHIGH ,de597797-22fb-4d65-a9fe-b7dbe8893914,ADALLOM_S_DISCOVERY,932ad362-64a8-4783-9106-97849a1a30b9,Microsoft Defender for Cloud Apps Discovery
Microsoft Entra ID P1_USGOV_GCCHIGH,AAD_PREMIUM_USGOV_GCCHIGH ,de597797-22fb-4d65-a9fe-b7dbe8893914,AAD_PREMIUM,41781fb2-bc02-4b7c-bd55-b576c07bb09d,Microsoft Entra ID P1
Microsoft Entra ID P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,AAD_PREMIUM,41781fb2-bc02-4b7c-bd55-b576c07bb09d,Microsoft Entra ID P1
Microsoft Entra ID P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,AAD_PREMIUM_P2,eec0eb4f-6444-4f95-aba0-50c24d67f998,Microsoft Entra ID P2
Microsoft Entra ID P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,ADALLOM_S_DISCOVERY,932ad362-64a8-4783-9106-97849a1a30b9,CLOUD APP SECURITY DISCOVERY
Microsoft Entra ID P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,EXCHANGE FOUNDATION
Microsoft Entra ID P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b,MFA_PREMIUM,8a256a2b-b617-496d-b51b-e76466e88db0,MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION
Azure Information Protection Plan 1,RIGHTSMANAGEMENT,c52ea49f-fe5d-4e95-93ba-1de91d380f89,RMS_S_ENTERPRISE,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,AZURE INFORMATION PROTECTION PREMIUM P1
Azure Information Protection Plan 1,RIGHTSMANAGEMENT,c52ea49f-fe5d-4e95-93ba-1de91d380f89,RMS_S_PREMIUM,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Microsoft Entra RIGHTS
Azure Information Protection Plan 1,RIGHTSMANAGEMENT_CE,a0e6a48f-b056-4037-af70-b9ac53504551,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Azure Information Protection Plan 1,RIGHTSMANAGEMENT_CE,a0e6a48f-b056-4037-af70-b9ac53504551,RMS_S_PREMIUM,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Azure Information Protection Premium P1
Azure Information Protection Plan 1,RIGHTSMANAGEMENT_CE,a0e6a48f-b056-4037-af70-b9ac53504551,RMS_S_ENTERPRISE,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,Azure Rights Management
Azure Information Protection Premium P1_USGOV_GCCHIGH,RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Azure Information Protection Premium P1_USGOV_GCCHIGH,RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,RMS_S_PREMIUM,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Azure Information Protection Premium P1
Azure Information Protection Premium P1_USGOV_GCCHIGH,RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,RMS_S_ENTERPRISE,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,Azure Rights Management
Basic Collaboration,OFFICEBASIC,4468c39a-28b2-42fb-9094-840bcf28771f,EXCHANGE_S_STANDARD,9aaf7827-d63c-4b61-89c3-182f06f82e5c,Exchange Online (Plan 1)
Basic Collaboration,OFFICEBASIC,4468c39a-28b2-42fb-9094-840bcf28771f,ONEDRIVELITE_IW,b4ac11a0-32ff-4e78-982d-e039fa803dec,Office for the web with OneDrive for business
Basic Collaboration,OFFICEBASIC,4468c39a-28b2-42fb-9094-840bcf28771f,MCOBASIC,448898aa-3ae7-478c-b49a-1fac7a8a35cf,Skype Meetings
Basic Collaboration,OFFICEBASIC,4468c39a-28b2-42fb-9094-840bcf28771f,YAMMER_BASIC,6db7aeea-6c4a-475d-bbb0-7338bc73d646,Yammer
Business Apps (free),SMB_APPS,90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96,DYN365BC_MS_INVOICING,39b5c996-467e-4e60-bd62-46066f572726,Microsoft Invoicing
Business Apps (free),SMB_APPS,90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96,MICROSOFTBOOKINGS,199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,Microsoft Bookings
Common Data Service for Apps File Capacity,CDS_FILE_CAPACITY,631d5fb1-a668-4c2a-9427-8830665a742e,CDS_FILE_CAPACITY,dd12a3a8-caec-44f8-b4fb-2f1a864b51e3,Common Data Service for Apps File Capacity
Common Data Service for Apps File Capacity,CDS_FILE_CAPACITY,631d5fb1-a668-4c2a-9427-8830665a742e,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Common Data Service Database Capacity,CDS_DB_CAPACITY,e612d426-6bc3-4181-9658-91aa906b0ac0,CDS_DB_CAPACITY,360bcc37-0c11-4264-8eed-9fa7a3297c9b,Common Data Service for Apps Database Capacity
Common Data Service Database Capacity,CDS_DB_CAPACITY,e612d426-6bc3-4181-9658-91aa906b0ac0,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Common Data Service Database Capacity for Government,CDS_DB_CAPACITY_GOV,eddf428b-da0e-4115-accf-b29eb0b83965,CDS_DB_CAPACITY_GOV,1ddffef6-4f69-455e-89c7-d5d72105f915,Common Data Service for Apps Database Capacity for Government
Common Data Service Database Capacity for Government,CDS_DB_CAPACITY_GOV,eddf428b-da0e-4115-accf-b29eb0b83965,EXCHANGE_S_FOUNDATION_GOV,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Common Data Service Log Capacity,CDS_LOG_CAPACITY,448b063f-9cc6-42fc-a0e6-40e08724a395,CDS_LOG_CAPACITY,dc48f5c5-e87d-43d6-b884-7ac4a59e7ee9,Common Data Service for Apps Log Capacity
Common Data Service Log Capacity,CDS_LOG_CAPACITY,448b063f-9cc6-42fc-a0e6-40e08724a395,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Communications Credits,MCOPSTNC,47794cd0-f0e5-45c5-9033-2eb6b5fc84e0,MCOPSTNC,505e180f-f7e0-4b65-91d4-00d670bbd18c,COMMUNICATIONS CREDITS
Compliance Manager Premium Assessment Add-On,CMPA_addon,8a5fbbed-8b8c-41e5-907e-c50c471340fd,COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON,3a117d30-cfac-4f00-84ac-54f8b6a18d78,Compliance Manager Premium Assessment Add-On
Compliance Manager Premium Assessment Add-On for GCC,CMPA_addon_GCC,a9d7ef53-9bea-4a2a-9650-fa7df58fe094,COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON,3a117d30-cfac-4f00-84ac-54f8b6a18d78,Compliance Manager Premium Assessment Add-On
Defender Threat Intelligence,Defender_Threat_Intelligence,a9c51c15-ffad-4c66-88c0-8771455c832d,THREAT_INTELLIGENCE_APP,fbdb91e6-7bfd-4a1f-8f7a-d27f4ef39702,Defender Threat Intelligence
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,DYN365_CS_CHAT_FPA_GOV,b9f7ce72-67ff-4695-a9d9-5ff620232024,Dynamics 365 Customer Service Chat Application Integration for Government
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,DYN365_CS_MESSAGING_TPS_GOV,9d37aa61-3cc3-457c-8b54-e6f3853aa6b6,Dynamics 365 Customer Service Digital Messaging add-on for Government
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,DYN365_CS_MESSAGING_GOV,e304c3c3-f86c-4200-b174-1ade48805b22,Dynamics 365 Customer Service Digital Messaging application integration for Government
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,DYN365_CS_CHAT_GOV,ffb878a5-3184-472b-800b-65eadc63d764,Dynamics 365 for Customer Service Chat for Government
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,POWER_VIRTUAL_AGENTS_D365_CS_CHAT_GOV,9023fe69-f9e0-4c1e-bfde-654954469162,Power Virtual Agents for Chat for Gov
Digital Messaging for GCC Test SKU,MESSAGING_GCC_TEST,064a9707-9dba-4cc1-9902-38bfcfda6328,POWER_VIRTUAL_AGENTS_D365_CS_MESSAGING_GOV,e501d49b-1176-4816-aece-2563c0d995db,Power Virtual Agents for Digital Messaging for Gov
Dynamics 365 - Additional Database Storage (Qualified Offer),CRMSTORAGE,328dc228-00bc-48c6-8b09-1fbc8bc3435d,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Database Storage (Qualified Offer),CRMSTORAGE,328dc228-00bc-48c6-8b09-1fbc8bc3435d,CRMSTORAGE,77866113-0f3e-4e6e-9666-b1e25c6f99b0,Microsoft Dynamics CRM Online Storage Add-On
Dynamics 365 - Additional Production Instance (Qualified Offer),CRMINSTANCE,9d776713-14cb-4697-a21d-9a52455c738a,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Production Instance (Qualified Offer),CRMINSTANCE,9d776713-14cb-4697-a21d-9a52455c738a,CRMINSTANCE,eeea837a-c885-4167-b3d5-ddde30cbd85f,Microsoft Dynamics CRM Online Instance
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),CRMTESTINSTANCE,e06abcc2-7ec5-4a79-b08b-d9c282376f72,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),CRMTESTINSTANCE,e06abcc2-7ec5-4a79-b08b-d9c282376f72,CRMTESTINSTANCE,a98b7619-66c7-4885-bdfc-1d9c8c3d279f,Microsoft Dynamics CRM Online Additional Test Instance
Dynamics 365 AI for Market Insights (Preview),SOCIAL_ENGAGEMENT_APP_USER,c6df1e30-1c9f-427f-907c-3d913474a1c7,SOCIAL_ENGAGEMENT_APP_USER,339f4def-5ad8-4430-8d12-da5fd4c769a7,Dynamics 365 AI for Market Insights - Free
Dynamics 365 AI for Market Insights (Preview),SOCIAL_ENGAGEMENT_APP_USER,c6df1e30-1c9f-427f-907c-3d913474a1c7,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Asset Management Addl Assets,DYN365_ASSETMANAGEMENT,673afb9d-d85b-40c2-914e-7bf46cd5cd75,D365_AssetforSCM,90467813-5b40-40d4-835c-abd48009b1d9,Asset Maintenance Add-in
Dynamics 365 Asset Management Addl Assets,DYN365_ASSETMANAGEMENT,673afb9d-d85b-40c2-914e-7bf46cd5cd75,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Additional Environment Addon,DYN365_BUSCENTRAL_ADD_ENV_ADDON,a58f5506-b382-44d4-bfab-225b2fbf8390,DYN365_BUSCENTRAL_ENVIRONMENT,d397d6c6-9664-4502-b71c-66f39c400ca4,Dynamics 365 Business Central Additional Environment Addon
Dynamics 365 Business Central Database Capacity,DYN365_BUSCENTRAL_DB_CAPACITY,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74,DYN365_BUSCENTRAL_DB_CAPACITY,ae6b27b3-fe31-4e77-ae06-ec5fabbc103a,Dynamics 365 Business Central Database Capacity
Dynamics 365 Business Central Database Capacity,DYN365_BUSCENTRAL_DB_CAPACITY,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials,DYN365_BUSCENTRAL_ESSENTIAL,2880026b-2b0c-4251-8656-5d41ff11e3aa,DYN365_FINANCIALS_BUSINESS,920656a2-7dd8-4c83-97b6-a356414dbd36,Dynamics 365 for Business Central Essentials
Dynamics 365 Business Central Essentials,DYN365_BUSCENTRAL_ESSENTIAL,2880026b-2b0c-4251-8656-5d41ff11e3aa,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials,DYN365_BUSCENTRAL_ESSENTIAL,2880026b-2b0c-4251-8656-5d41ff11e3aa,FLOW_DYN_APPS,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central Essentials,DYN365_BUSCENTRAL_ESSENTIAL,2880026b-2b0c-4251-8656-5d41ff11e3aa,POWERAPPS_DYN_APPS,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
Dynamics 365 Business Central Essentials Attach,Dynamics_365_Business_Central_Essentials_Attach,1d506c23-1702-46f1-b940-160c55f98d05,Power_Pages_Internal_User,60bf28f9-2b70-4522-96f7-335f5e06c941,Power Pages Internal User
Dynamics 365 Business Central Essentials Attach,Dynamics_365_Business_Central_Essentials_Attach,1d506c23-1702-46f1-b940-160c55f98d05,DYN365_BUSCENTRAL_ESSENTIALS_ATTACH,17ca446c-d7a4-4d29-8dec-8e241592164b,Dynamics 365 Business Central Essentials Attach
Dynamics 365 Business Central Essentials Attach,Dynamics_365_Business_Central_Essentials_Attach,1d506c23-1702-46f1-b940-160c55f98d05,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials Attach,Dynamics_365_Business_Central_Essentials_Attach,1d506c23-1702-46f1-b940-160c55f98d05,POWERAPPS_DYN_APPS,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,Power Apps for Dynamics 365
Dynamics 365 Business Central Essentials Attach,Dynamics_365_Business_Central_Essentials_Attach,1d506c23-1702-46f1-b940-160c55f98d05,FLOW_DYN_APPS,7e6d7d78-73de-46ba-83b1-6d25117334ba,Power Automate for Dynamics 365
Dynamics 365 Business Central External Accountant,DYN365_FINANCIALS_ACCOUNTANT_SKU,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,DYN365_FINANCIALS_ACCOUNTANT,170991d7-b98e-41c5-83d4-db2052e1795f,Dynamics 365 Business Central External Accountant
Dynamics 365 Business Central External Accountant,DYN365_FINANCIALS_ACCOUNTANT_SKU,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central External Accountant,DYN365_FINANCIALS_ACCOUNTANT_SKU,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,FLOW_DYN_APPS,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central External Accountant,DYN365_FINANCIALS_ACCOUNTANT_SKU,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,POWERAPPS_DYN_APPS,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
Dynamics 365 Business Central for IWs,PROJECT_MADEIRA_PREVIEW_IW_SKU,6a4a1628-9b9a-424d-bed5-4118f0ede3fd,PROJECT_MADEIRA_PREVIEW_IW,3f2afeed-6fb5-4bf9-998f-f2912133aead,Dynamics 365 Business Central for IWs
Dynamics 365 Business Central for IWs,PROJECT_MADEIRA_PREVIEW_IW_SKU,6a4a1628-9b9a-424d-bed5-4118f0ede3fd,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Premium,DYN365_BUSCENTRAL_PREMIUM,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,DYN365_BUSCENTRAL_PREMIUM,8e9002c0-a1d8-4465-b952-817d2948e6e2,Dynamics 365 Business Central Premium
Dynamics 365 Business Central Premium,DYN365_BUSCENTRAL_PREMIUM,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Premium,DYN365_BUSCENTRAL_PREMIUM,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,FLOW_DYN_APPS,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central Premium,DYN365_BUSCENTRAL_PREMIUM,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,POWERAPPS_DYN_APPS,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
Dynamics 365 Business Central Team Members,DYN365_BUSCENTRAL_TEAM_MEMBER,2e3c4023-80f6-4711-aa5d-29e0ecb46835,DYN365_FINANCIALS_TEAM_MEMBERS,d9a6391b-8970-4976-bd94-5f205007c8d8,Dynamics 365 for Team Members
Dynamics 365 Business Central Team Members,DYN365_BUSCENTRAL_TEAM_MEMBER,2e3c4023-80f6-4711-aa5d-29e0ecb46835,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Team Members,DYN365_BUSCENTRAL_TEAM_MEMBER,2e3c4023-80f6-4711-aa5d-29e0ecb46835,POWERAPPS_DYN_TEAM,52e619e2-2730-439a-b0d3-d09ab7e8b705,Power Apps for Dynamics 365
Dynamics 365 Business Central Team Members,DYN365_BUSCENTRAL_TEAM_MEMBER,2e3c4023-80f6-4711-aa5d-29e0ecb46835,FLOW_DYN_TEAM,1ec58c70-f69c-486a-8109-4b87ce86e449,Power Automate for Dynamics 365
Dynamics 365 Commerce Trial,DYN365_RETAIL_TRIAL,1508ad2d-5802-44e6-bfe8-6fb65de63d28,DYN365_RETAIL_TRIAL,874d6da5-2a67-45c1-8635-96e8b3e300ea,Dynamics 365 for Retail Trial
Dynamics 365 Commerce Trial,DYN365_RETAIL_TRIAL,1508ad2d-5802-44e6-bfe8-6fb65de63d28,EXCHANGE_S_FOUNDATION,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Customer Engagement Plan,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf,DYN365_ENTERPRISE_P1,d56f3deb-50d8-465a-bedb-f079817ccac1,Dynamics 365 Customer Engagement Plan
Dynamics 365 Customer Engagement Plan,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf,D365_CSI_EMBED_CE,1412cdc1-d593-4ad1-9050-40c30ad0b023,Dynamics 365 Customer Service Insights for CE Plan
Dynamics 365 Customer Engagement Plan,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf,DYN365_ENTERPRISE_FIELD_SERVICE,8c66ef8a-177f-4c0d-853c-d4f219331d09,Dynamics 365 for Field Service
Dynamics 365 Customer Engagement Plan,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf,D365_ProjectOperationsCDS,18fa3aba-b085-4105-87d7-55617b8585e6,Dynamics 365 Project Operations CDS
